id,weight,height,gender,sport
1,220.0,75.0,Male,Baseball
2,180.0,72.0,Male,Baseball
3,190.0,75.0,Male,Baseball
4,190.0,75.0,Male,Baseball
5,184.0,73.0,Male,Baseball
6,220.0,73.0,Male,Baseball
7,192.0,72.0,Male,Baseball
8,170.0,71.0,Male,Baseball
9,175.0,71.0,Male,Baseball
10,169.0,68.0,Male,Baseball
11,190.0,71.0,Male,Baseball
12,180.0,70.0,Male,Baseball
13,200.0,78.0,Male,Baseball
14,190.0,74.0,Male,Baseball
15,200.0,75.0,Male,Baseball
16,180.0,71.0,Male,Baseball
17,200.0,76.0,Male,Baseball
18,180.0,74.0,Male,Baseball
19,185.0,75.0,Male,Baseball
20,195.0,74.0,Male,Baseball
22,215.0,75.0,Male,Baseball
23,190.0,70.0,Male,Baseball
24,185.0,73.0,Male,Baseball
25,210.0,74.0,Male,Baseball
26,215.0,76.0,Male,Baseball
27,170.0,72.0,Male,Baseball
28,200.0,72.0,Male,Baseball
29,200.0,74.0,Male,Baseball
30,190.0,73.0,Male,Baseball
31,185.0,72.0,Male,Baseball
32,170.0,69.0,Male,Baseball
33,185.0,72.0,Male,Baseball
34,220.0,72.0,Male,Baseball
35,160.0,68.0,Male,Baseball
36,255.0,75.0,Male,Baseball
37,185.0,72.0,Male,Baseball
38,200.0,70.0,Male,Baseball
39,170.0,74.0,Male,Baseball
40,185.0,72.0,Male,Baseball
41,195.0,72.0,Male,Baseball
42,205.0,74.0,Male,Baseball
43,185.0,72.0,Male,Baseball
44,245.0,74.0,Male,Baseball
45,205.0,77.0,Male,Baseball
46,210.0,74.0,Male,Baseball
47,215.0,76.0,Male,Baseball
48,205.0,73.0,Male,Baseball
49,202.0,73.0,Male,Baseball
50,165.0,70.0,Male,Baseball
51,215.0,77.0,Male,Baseball
52,134.0,66.0,Male,Baseball
53,215.0,76.0,Male,Baseball
54,140.0,67.0,Male,Baseball
55,235.0,80.0,Male,Baseball
56,172.0,74.0,Male,Baseball
57,168.0,72.0,Male,Baseball
58,175.0,72.0,Male,Baseball
59,154.0,70.0,Male,Baseball
60,185.0,72.0,Male,Baseball
61,182.0,70.0,Male,Baseball
62,200.0,71.0,Male,Baseball
63,185.0,71.0,Male,Baseball
64,185.0,73.0,Male,Baseball
65,168.0,71.0,Male,Baseball
66,165.0,72.0,Male,Baseball
67,160.0,70.0,Male,Baseball
68,200.0,74.0,Male,Baseball
69,180.0,72.0,Male,Baseball
70,165.0,71.0,Male,Baseball
71,205.0,73.0,Male,Baseball
72,185.0,72.0,Male,Baseball
73,185.0,75.0,Male,Baseball
74,175.0,66.0,Male,Baseball
75,180.0,73.0,Male,Baseball
76,160.0,69.0,Male,Baseball
77,148.0,66.0,Male,Baseball
78,190.0,72.0,Male,Baseball
79,185.0,76.0,Male,Baseball
80,170.0,74.0,Male,Baseball
81,190.0,76.0,Male,Baseball
82,260.0,75.0,Male,Baseball
83,185.0,74.0,Male,Baseball
84,180.0,69.0,Male,Baseball
85,210.0,77.0,Male,Baseball
86,185.0,72.0,Male,Baseball
87,165.0,72.0,Male,Baseball
88,180.0,74.0,Male,Baseball
89,205.0,72.0,Male,Baseball
90,185.0,71.0,Male,Baseball
91,151.0,65.0,Male,Baseball
92,158.0,69.0,Male,Baseball
93,180.0,75.0,Male,Baseball
94,180.0,76.0,Male,Baseball
95,215.0,79.0,Male,Baseball
96,210.0,76.0,Male,Baseball
97,235.0,76.0,Male,Baseball
98,175.0,72.0,Male,Baseball
99,200.0,77.0,Male,Baseball
100,210.0,74.0,Male,Baseball
101,160.0,68.0,Male,Baseball
102,185.0,75.0,Male,Baseball
103,188.0,73.0,Male,Baseball
104,195.0,74.0,Male,Baseball
105,165.0,70.0,Male,Baseball
106,220.0,70.0,Male,Baseball
107,175.0,71.0,Male,Baseball
109,200.0,72.0,Male,Baseball
110,210.0,78.0,Male,Baseball
111,187.0,72.0,Male,Baseball
112,170.0,73.0,Male,Baseball
113,185.0,76.0,Male,Baseball
114,225.0,76.0,Male,Baseball
115,225.0,72.0,Male,Baseball
116,195.0,71.0,Male,Baseball
117,200.0,74.0,Male,Baseball
118,165.0,71.0,Male,Baseball
119,185.0,71.0,Male,Baseball
120,190.0,74.0,Male,Baseball
121,173.0,69.0,Male,Baseball
122,200.0,71.0,Male,Baseball
123,250.0,75.0,Male,Baseball
124,195.0,76.0,Male,Baseball
125,205.0,76.0,Male,Baseball
127,195.0,75.0,Male,Baseball
128,195.0,74.0,Male,Baseball
129,220.0,75.0,Male,Baseball
130,175.0,76.0,Male,Baseball
131,180.0,71.0,Male,Baseball
132,192.0,75.0,Male,Baseball
133,175.0,71.0,Male,Baseball
134,175.0,71.0,Male,Baseball
135,180.0,73.0,Male,Baseball
136,210.0,74.0,Male,Baseball
137,190.0,74.0,Male,Baseball
138,178.0,71.0,Male,Baseball
139,175.0,71.0,Male,Baseball
